	Participant ID	Slide Nr.	Learning Style Dimension	Content per AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
1030	33	31.0	Perception	Second additional material	18336	274.0	96.0	688.0	67	1907.0	100.0	First additional material	2,88937	17848	279.0	96.0	688.0	64	2023.0	164.0	2,88799	20924	6975.0	280.0	19548.0	3	1907.0	1096.0	21056	7019.0	320.0	19640.0	3	1907.0	1096.0	0	56	21258.0	3003.0	402,62	152,8
1031	33	31.0	Perception	Third additional material	14712	254.0	68.0	760.0	58	3051.0	300.0	First additional material	2,90728	10400	254.0	104.0	444.0	41	3051.0	300.0	2,89678	23652	7884.0	572.0	20984.0	3	3051.0	2096.0	23764	7921.0	604.0	21016.0	3	3003.0	2144.0	0	32	3003.0	5147.0	152,8	415,13
1032	34	4.0	Understanding	Table of contents	10012	218.0	104.0	396.0	46	452.0	212.0	Summary	2,7921	10012	218.0	104.0	396.0	46	452.0	212.0	2,7921	11484	11484.0	11484.0	11484.0	1	452.0	11484.0	11560	11560.0	11560.0	11560.0	1	376.0	11560.0	0	45	376.0	11936.0	342,11	350,53
1033	34	4.0	Understanding	Summary	15252	215.0	68.0	432.0	71	252.0	124.0	Summary	2,73308	12296	236.0	124.0	432.0	52	252.0	124.0	2,71245	22720	11360.0	124.0	22596.0	2	252.0	124.0	22836	11418.0	160.0	22676.0	2	216.0	160.0	0	52	216.0	376.0	149,09	342,11
1035	34	7.0	Input	Illustrations	6440	293.0	60.0	824.0	22	192.0	60.0	Illustrations	2,83403	5072	362.0	108.0	824.0	14	1000.0	268.0	2,81292	7608	845.0	272.0	2580.0	9	192.0	2580.0	7956	884.0	316.0	2580.0	9	192.0	2580.0	0	8	3780.0	2772.0	173,36	207,6
1034	34	7.0	Input	Key words	2952	268.0	108.0	436.0	11	2824.0	124.0	Illustrations	2,79944	2952	268.0	108.0	436.0	11	2824.0	124.0	2,79944	3028	379.0	108.0	956.0	8	2824.0	956.0	3376	422.0	152.0	1008.0	8	2772.0	1008.0	0	3	2772.0	3780.0	207,6	173,36
1038	34	10.0	Process	Theory	15984	208.0	60.0	704.0	77	322.0	108.0	Example	2,82318	9548	233.0	132.0	628.0	41	5422.0	216.0	2,77805	26668	26668.0	26668.0	26668.0	1	322.0	26668.0	26668	26668.0	26668.0	26668.0	1	322.0	26668.0	0	46		26990.0		99,12
1037	34	10.0	Process	Exercise	28620	206.0	60.0	708.0	139	27010.0	144.0	Example	2,65156	28136	207.0	60.0	708.0	136	27010.0	144.0	2,65461	35265	5877.0	168.0	15864.0	6	27010.0	1440.0	35525	5921.0	204.0	15904.0	6	26990.0	1460.0	0	107	26990.0	28450.0	99,12	117,93
1036	34	10.0	Process	Example	13048	221.0	84.0	884.0	59	45043.0	256.0	Example	2,72433	12172	234.0	148.0	884.0	52	45043.0	256.0	2,72274	21360	7120.0	256.0	20820.0	3	45043.0	256.0	21496	7165.0	300.0	20852.0	3	44999.0	300.0	0	49	44999.0	45299.0	248,89	188,96
1040	34	13.0	Input	Illustrations	2580	258.0	84.0	612.0	10	1309.0	232.0	Key words	2,66069	1968	219.0	84.0	288.0	9	1309.0	232.0	2,66721	2964	741.0	356.0	1472.0	4	1309.0	356.0	3120	780.0	392.0	1512.0	4	1273.0	392.0	0	4	1273.0	1665.0	113,68	111,81
